chromosome	pval.human	pval.chimp	zeta.human	zeta.chimp	size	Specificity	maf_common	S_common	maf_rare	S_rare	eQTLs	PhastCons	PP_con	PP_acc	gene	dTSS	type
chr1:194534244-194534544	0.0388619038109365	0.991631869511444	2.43954007629229	0.719007286003641	300	0.99206349	0	0	0.0064	1	0	0.2165	0.998868	0.02959614	B3GALT2	-1378610	ncHAE
chr1:195872978-195873277	0.285721223490106	0.278720937960507	1.81064124756213	1.1645920922235	299	0.984127	0.2057	3	0.0031	6	0	0.16	0.9963938	0.07947761	KCNT2	704371	ncHAE
chr1:19688086-19688407	0.0632745822603825	1	2.49387058532328	0.176494629263743	321	0.603175	0.195	2	5e-04	2	1	NA	0.9999472	0.00531981	PQLC2	49425	ncHAE
chr1:200284036-200284638	0.233738809549949	1	0.802115188583078	2.09258709537092e-14	602	0.99206349	0.1474	3	0.0028	6	0	1	0.9988074	0.04423689	ZNF281	94847	ncHAE
chr1:202664551-202664850	0.290294292367569	1	1.91470562667537	3.43286776140271e-14	299	0.99206349	0.3347	1	0.001	3	1	0.363	0.9886393	0.1399879	SYT2	-52120	ncHAE
chr1:204233240-204233539	0.0167526056384456	1	3.3773379214086	1.86239057928815e-14	299	0.99206349	0.0138	6	0.0011	2	0	0.004	0.999972	0.001524736	GOLT1A	-50170	ncHAE
chr1:204591464-204591764	0.0375511625018892	1	3.09210376287116	0.600022485856396	300	0.99206349	0	0	0.0016	2	0	0.0105	0.9998693	0.005529817	LRRN2	-281	ncHAE
chr1:204900515-204900814	0.0640035741235545	0.569347194979016	2.56931735479838	1.44414180491576	299	0.9761905	0	0	4e-04	1	0	0.002	0.999452	0.01464774	NFASC	102883	ncHAE
chr1:20713300-20713599	0.169061226776104	1	2.14415563102016	4.33714810792749e-14	299	0.896825	0.0106	1	0.0014	2	0	NA	0.9985833	0.03470892	VWA5B1	96038	ncHAE
chr1:208608186-208608637	0.0293707824044295	0.80939921122288	2.12357733837065	1.12930574042203	451	0.9761905	0.1514	3	0.002	3	0	1	0.9999471	0.003277036	PLXNA2	-190747	ncHAE
chr1:208941242-208941707	0.0259807127394768	1	1.39759085676698	1.38943962105979e-14	465	0.984127	0.1751	7	8e-04	5	0	1	0.9997842	0.01180676	PLXNA2	-523810	ncHAE
chr1:209734796-209735123	0.24935639030397	0.547912584640514	1.93503279951266	0.640028798437716	327	0.968254	0	0	0.001	1	0	0.85	0.9984457	0.04839782	CAMK1G	-22102	ncHAE
chr1:210435983-210436283	0.0533515846690655	1	3.27862958860452	2.52152654265773e-14	300	0.9285714	0.2971	1	0.0013	2	1	1	0.9998547	0.008809551	HHAT	-66117	ncHAE
chr1:212253114-212253453	0.143570008378948	1	1.52015288394719	1.6989471207576e-14	339	0.984127	0.0206	3	0.0052	3	3	1	0.9988913	0.06877715	DTL	44365	ncHAE
chr1:213759462-213759974	0.674863165219974	1	1.07246712913047	1.97646498055345e-14	512	0.984127	0.1424	1	0.0013	4	0	1	0.9985379	0.04666601	PROX1	-401568	ncHAE
chr1:214102646-214102946	0.393977071548587	1	1.6523918972756	0.295540578787236	300	0.984127	0	0	8e-04	3	0	1	0.9983955	0.05144237	PROX1	-58490	ncHAE
chr1:214202271-214202571	0.228924377169694	1	1.77929905166432	0.368150968017828	300	0.9206349	0	0	8e-04	3	0	1	0.9996637	0.02201657	PROX1	41135	ncHAE
chr1:215846347-215846647	0.114690451565038	0.649326734503129	2.22665357469999	0.897994164647219	300	0.99206349	0.0144	5	0	0	0	0.281	0.9997213	0.01282106	KCTD3	105762	ncHAE
chr1:216356755-216357348	1	1	1.08829262433149	0.141749157273336	593	0.849206	0	0	0.001	3	0	1	0.9942395	0.09853709	USH2A	239686	ncHAE
chr1:216885961-216886546	0.896590773340459	1	1.02403631293239	1.86131442512961e-14	585	0.99206349	0.34985	2	0	0	0	1	0.9982189	0.05076529	ESRRG	10541	ncHAE
chr1:217138076-217138376	1	0.1547953479007	0.901138179790622	1.6693268352117	300	0.99206349	0.308	2	4e-04	1	0	1	0.9606216	0.4143856	ESRRG	-241431	ncHAE
chr1:217227882-217228181	0.0862430380242322	1	2.68015977857457	0.482271889261207	299	0.99206349	0.08225	4	0.0042	3	0	0.935	0.9998448	0.008939899	ESRRG	-331237	ncHAE
chr1:217633589-217633889	0.249368163991765	1	1.49083327426938	0.406487079473428	300	0.99206349	0.0112	1	0.0061	2	0	0.002	0.9811562	0.2284501	GPATCH2	170685	ncHAE
chr1:217944113-217944690	0.202174794168944	0.937289895620246	1.86493684947824	1.01180753171084	577	0.9761905	0.15825	2	0.0017	2	0	1	0.9999379	0.002668961	SPATA17	139736	ncHAE
chr1:218024560-218024860	0.0170113738254628	0.758383949293073	2.78460368645433	1.08330018720931	300	0.99206349	0	0	0.0026	1	0	0.9985	0.9998049	0.005986847	SPATA17	220044	ncHAE
chr1:218030531-218030830	0.141416838746997	1	1.98595166630566	0.0329709948540052	299	0.880952	0.4197	1	4e-04	1	0	1	0.9999972	0.002197555	SPATA17	226015	ncHAE
chr1:218392867-218393180	0.298382790224909	1	1.63295012215957	1.52527182244864e-14	313	0.99206349	0.0383	1	0.0016	3	1	1	0.99999	0.004909645	RRP15	-65605	ncHAE
chr1:218428302-218428846	0.539546994900291	1	1.09816525433759	3.32167559076985e-14	544	0.9761905	0.0345	2	0.0031	6	0	1	0.9999839	0.004746171	RRP15	-30055	ncHAE
chr1:224898687-224898986	0.000236859939447109	0.0346938414519922	5.44488698009283	2.20374542322688	299	0.99206349	0.2157	3	0.0037	2	2	0.002	0.9999993	8.846603e-05	CNIH3	94842	ncHAE
chr1:228288031-228288336	0.0359362754205764	1	3.21804868771396	3.95592379122638e-14	305	0.99206349	0.1266	2	0.0026	7	1	0.019	0.9903217	0.08672221	C1orf35	2979	ncHAE
chr1:228636833-228637153	0.191256242158686	1	1.93258636193239	1.33737780109558e-14	320	0.984127	0	0	4e-04	1	0	1	0.9978802	0.04359357	HIST3H2A	8567	ncHAE
chr1:231674968-231675300	0.276186080924078	1	1.75759424408847	1.92729916289794e-14	332	0.9761905	0	0	0	0	0	0.021	0.9585318	0.3254769	TSNAX	10735	ncHAE
chr1:234162137-234162437	0.0152895927815798	1	2.51914724214354	1.44055675176869e-14	300	0.99206349	0.0447	2	4e-04	1	0	0.996	0.9944934	0.07485874	SLC35F3	121608	ncHAE
chr1:237207685-237207985	0.392066929642399	1	1.7129397943015	0.361613322237152	300	0.9206349	0.3792	4	0	0	1	0.5895	0.9956969	0.08661947	RYR2	2330	ncHAE
chr1:23760917-23761216	0.176110065463653	1	2.35716800698562	0.478989928682965	299	0.952381	0.028	3	0.0023	2	1	NA	0.9585521	0.2754857	TCEA3	-9834	ncHAE
chr1:243639475-243639775	0.00441083159790356	0.0607203145824363	3.84474978291163	2.46735115617459	300	0.484127	0.0206	1	0	0	0	1	0.9998702	0.004547739	SDCCAG8	220267	ncHAE
chr1:245320526-245320825	0.0413499839683469	0.222741627350522	2.33210348652084	0.830068882160322	299	0.674603	0.0463	1	0	0	0	0.719	0.9997734	0.01666947	KIF26B	2389	ncHAE
chr1:245389002-245389301	0.0387040105054193	0.454625514197065	1.8363648149019	1.68338259367944	299	0.9761905	0	0	8e-04	1	0	0.981	0.9821151	0.177013	KIF26B	70865	ncHAE
chr1:247348111-247348411	0.0662827062102526	0.397920939984468	1.96666200501307	1.74757934095205	300	0.9603175	0.1599	1	0.0012	1	1	0.999	0.8564195	0.5009543	ZNF124	-12943	ncHAE
chr1:25887727-25888026	0.751127541246927	1	0.83743061657353	0.284251245515295	299	0.865079	0.0711	1	0	0	1	NA	0.9902447	0.2562661	LDLRAP1	17806	ncHAE
chr1:27309618-27309945	0.0106341042553162	1	2.75700657559324	0.828319682271482	327	0.99206349	0.0164	1	8e-04	5	0	NA	0.9260268	0.2744277	TRNP1	-10416	ncHAE
chr1:35087368-35087667	0.165621820381489	1	2.23442878910438	0.300633742362268	299	0.99206349	0.4734	1	0.0014	3	0	NA	0.985439	0.1598185	GJB5	-133130	ncHAE
chr1:37392790-37393090	0.0655522264046295	1	2.5929337515251	0.427658241554263	300	0.99206349	0	0	0.006789	7	0	NA	0.9997776	0.008662286	GRIK3	106786	ncHAE
chr1:38445274-38445621	0.447974350304008	1	1.63537596624898	0.267204944733692	347	0.99206349	0.2813	3	0.0011	4	0	NA	0.9329284	0.3417515	SF3A3	11145	ncHAE
chr1:38454640-38454995	1	1	0.784657751080119	0.561026463224153	355	0.9206349	0.0363	1	0.0016	3	0	NA	0.7501613	0.7508812	SF3A3	1775	ncHAE
chr1:38687907-38688256	0.51684325083271	1	1.41605109066734	0.609777611410253	349	0.984127	0	0	0.0094	1	0	NA	0.999885	0.01445771	POU3F1	-175632	ncHAE
chr1:43278963-43279263	0.294858085744953	1	1.8366978381806	1.38267469598865e-14	300	0.99206349	0.2616	3	0.0027	4	2	NA	0.9974211	0.06323196	ERMAP	-3689	ncHAE
chr1:44485126-44485425	0.0258344949998711	1	2.46864872737865	0.43657584893976	299	0.9761905	0.1016	1	0.0015	4	1	NA	0.9997475	0.01781132	SLC6A9	-2279	ncHAE
chr1:44739748-44740177	0.946587644544131	1	1.10932796332533	0.276263277064963	429	0.9761905	0.26045	2	0.0061	2	2	NA	0.9999953	0.006491672	DMAP1	60800	ncHAE
chr1:44902140-44902439	0.262706533077131	1	2.02572183509985	3.79953894061366e-14	299	0.952381	0.2843	1	0.0023992	4	0	NA	0.9984229	0.0760905	RNF220	31424	ncHAE
chr1:47041635-47041935	0.170641565698038	0.675223981500642	2.18904572003599	0.705482803708693	300	0.9365079	0	0	0.0058	2	0	NA	0.9891705	0.1343222	KNCN	-24898	ncHAE
chr1:48965148-48965550	0.501770383431713	1	1.47438256430487	4.88350605532852e-14	402	0.9603175	0.427	6	0.0046	1	5	NA	0.9998228	0.01553278	SPATA6	-27504	ncHAE
chr1:49353714-49354013	0.164340032048803	1	2.05512932840654	0.433904492192574	299	0.952381	0.3534	1	0	0	0	NA	0.9993706	0.03013526	BEND5	-111274	ncHAE
chr1:49481883-49482183	0.203129160398501	1	1.59114857744995	1.75080086872102e-14	300	0.9761905	0.1302	1	0.0014	4	0	NA	0.9685441	0.2896112	BEND5	-239443	ncHAE
chr1:51078081-51078380	0.121363641865813	1	1.88176866447523	1.93755231149939e-14	299	0.984127	0.1691	1	0.006	2	1	NA	0.9996353	0.03581287	DMRTA2	-189059	ncHAE
chr1:51162458-51162883	0.0867489017630217	1	1.33049181343706	0.00851280459700898	425	0.9444444	0	0	0	0	0	NA	0.9999861	0.004319032	FAF1	263264	ncHAE
chr1:56204190-56204491	0.0674661921210702	1	1.48889387380704	1.02982413265629e-14	301	0.984127	0.2284	1	0.0036	2	1	NA	0.9965818	0.07703759	USP24	-523555	ncHAE
chr1:56789650-56789950	0.326946131764766	0.39838220914656	1.20953236883209	1.63505949922822	300	0.99206349	0	0	0.0034	1	0	NA	0.9874756	0.1912443	PPAP2B	255441	ncHAE
chr1:57646994-57647293	0.222890123879773	1	2.05426852876528	2.54887382960602e-14	299	0.99206349	0.1845	2	0	0	0	NA	0.9990767	0.03796016	C8B	-215456	ncHAE
chr1:57719455-57719857	0.290443593011132	1	1.89937182015437	3.18193836111807e-14	402	0.769841	0.1398	1	7e-04	2	0	NA	0.9998548	0.01374227	DAB1	170073	ncHAE
chr1:58066414-58066714	0.225937026293998	1	1.42629209001301	0.292723893559369	300	0.99206349	0.1825	2	0.0038	3	1	NA	0.9990549	0.06016193	DAB1	-176835	ncHAE
chr1:58124869-58125168	0.162157538274542	1	2.1370578414912	0.366634214232167	299	0.984127	0.025	3	6e-04	1	0	NA	0.9996738	0.02019433	DAB1	-235290	ncHAE
chr1:58464483-58464783	0.349113165571654	0.620404109980539	1.63882668652787	0.962202983284611	300	0.99206349	0.0114	1	0	0	0	NA	0.973881	0.3524497	OMA1	547839	ncHAE
chr1:61449272-61449572	0.0968806473985035	0.536872013759818	2.66838979521628	1.50483022282886	300	0.9761905	0.4884	5	0.0024	5	0	NA	0.9998479	0.008821747	NFIA	-98112	ncHAE
chr1:61637611-61637910	0.280309645762945	1	1.92842342547475	2.61810292284158e-14	299	0.9603175	0	0	0.002	1	0	NA	0.9959201	0.08398482	NFIA	90227	ncHAE
chr1:61710858-61711158	0.0913875783091032	1	2.37445684136005	2.10293936552142e-14	300	0.984127	0	0	0.0011	4	0	NA	0.9999002	0.00709834	NFIA	163474	ncHAE
chr1:61762705-61763185	0.444804068940645	1	1.49537812483922	2.12901087305244e-14	480	0.99206349	0	0	0.001	3	0	NA	0.9987641	0.03180263	NFIA	215411	ncHAE
chr1:61989782-61990098	0.526670203992836	1	1.46466627704969	5.86771837092416e-14	316	0.9126984	0.3147	1	0.0018	1	0	NA	0.9999536	0.009156465	TM2D1	201155	ncHAE
chr1:63464550-63465539	1	1	0.693489493910039	2.04139641692669e-14	989	0.9761905	0.19885	2	0.0022	13	0	NA	0.9999841	0.002749028	ATG4C	215239	ncHAE
chr1:63553511-63553810	0.100101975998979	0.405511405678952	2.53693859983849	0.433985021458024	299	0.873016	0.3103	2	0.0024	5	0	NA	0.9999975	0.0008692619	FOXD3	-235069	ncHAE
chr1:64254386-64254693	0.674405456048167	1	1.38216299103146	0.309440032074535	307	0.99206349	0.3165	1	0.0038	3	0	NA	0.8406268	0.5760345	ROR1	14826	ncHAE
chr1:64590699-64591196	0.179891038554259	1	1.50795808076939	0.930793871673345	497	0.99206349	0	0	8e-04	4	0	NA	0.9995436	0.01312527	UBE2U	-78542	ncHAE
chr1:65015852-65016152	0.0901258552666615	0.722291171292378	2.55266968325792	0.919449078395567	300	0.99206349	0.08387	1	0	0	0	NA	0.9960369	0.07760354	CACHD1	79527	ncHAE
chr1:65543105-65543405	0.00228971310260595	1	4.53133384824882	5.30975044871213e-14	300	0.984127	0.2875	3	0	0	2	NA	0.9999986	0.0001521651	AK4	-70258	ncHAE
chr1:70080194-70080493	0.564178974981042	0.247856026892699	1.24414974387587	2.05437895882311	299	0.99206349	0.1772	4	0.0086	1	2	NA	0.9401984	0.3914258	LRRC7	-145514	ncHAE
chr1:71662615-71663043	0.118613496315818	1	0.82931802829695	1.06666535564689e-14	428	0.706349	0.23045	2	0.001	3	1	NA	0.9855178	0.2104227	ZRANB2	-115849	ncHAE
chr1:72253971-72254270	0.275739414076336	1	1.40309515842222	0.474863698367213	299	0.9603175	0.3207	2	0.0011	4	0	NA	0.997916	0.08314229	NEGR1	494296	ncHAE
chr1:72879559-72879884	0.314837206046068	1	1.57132116738432	3.85179403650827e-14	325	0.99206349	0.0156	1	0.0048	2	0	NA	0.9983946	0.05145877	NEGR1	-131305	ncHAE
chr1:7310615-7310915	0.00671912010190445	0.823073714529094	3.84447547119755	1.25374271334236	300	0.9603175	0.04465	2	0.0015	2	1	NA	0.9999474	0.003102292	CAMTA1	465381	ncHAE
chr1:74361643-74361942	0.0230020273575017	0.243246535037407	3.43639926071062	1.72271370650476	299	0.99206349	0.4896	1	0.0024	5	1	NA	0.999229	0.02246171	FPGT	-302133	ncHAE
chr1:74534463-74534762	0.306704499915885	1	1.76970994388702	8.57123843822348e-15	299	0.99206349	0.0329	3	0.0042	1	2	NA	0.9914034	0.1226577	FPGT	-129313	ncHAE
chr1:75160224-75160523	0.0243653014544871	1	3.0447502823385	0.355100593543784	299	0.99206349	0.34335	2	0.0058	1	2	NA	0.9994892	0.01827447	TYW3	-38466	ncHAE
chr1:7651250-7651550	0.0625223728091457	1	2.39075158264831	0.597760306351797	300	0.99206349	0.0139	2	0.0036	2	0	NA	0.9998237	0.01033906	VAMP3	-179929	ncHAE
chr1:76605701-76606000	0.00892699734198521	1	3.11345976339412	0.5442467126984	299	0.99206349	0.07955	2	0.002	4	1	NA	0.9999036	0.006206559	ST6GALNAC3	65447	ncHAE
chr1:79486286-79486624	0.164867234519384	1	2.29032152948789	0.0637550187940546	338	0.99206349	0.2293	2	0	0	1	NA	0.9895994	0.1312743	ELTD1	-14052	ncHAE
chr1:79757749-79758049	0.00060406395066781	1	4.73085274444557	0.374343385112702	300	0.984127	0.0353	2	0.0024	5	0	NA	0.9999979	0.0001517901	ELTD1	-285496	ncHAE
chr1:8060034-8060380	1	1	0.889866436585318	0.904243779399282	346	0.99206349	0	0	6e-04	3	0	NA	0.6699872	0.8077064	ERRFI1	26161	ncHAE
chr1:81283651-81283950	0.103087105556537	1	2.47260233568955	2.42277774202515e-14	299	0.99206349	0.1583	1	0.0015	2	0	NA	0.9987036	0.03229158	LPHN2	-982281	ncHAE
chr1:81494087-81494421	0.0854770522056211	1	2.2655529939529	0.334154724293591	334	0.99206349	0.07288	1	0.0044	2	0	NA	0.9998847	0.005498538	LPHN2	-771828	ncHAE
chr1:81623671-81623971	0.0578265814238317	1	2.56943600032425	1.6994829311167e-14	300	0.99206349	0.0202	5	0.0018	6	0	NA	0.9998833	0.005691515	LPHN2	-642261	ncHAE
chr1:81668939-81669238	0.0638309036760148	0.275624253505943	1.3635173827425	0.860046606985954	299	0.99206349	0	0	0.0012	1	0	NA	0.9866015	0.2000008	LPHN2	-596993	ncHAE
chr1:82064453-82064819	0.17298046630578	1	1.76858653620923	0.00287109093627258	366	0.984127	0.3311	1	0.0041	4	0	NA	0.9998851	0.01336045	LPHN2	-201446	ncHAE
chr1:82497538-82497838	0.052955269626584	1	2.66978529129586	0.289547286498506	300	0.99206349	0	0	6e-04	1	0	NA	0.9999932	0.000940813	LPHN2	231606	ncHAE
chr1:83220912-83221211	0.0816627906117188	0.473062305233427	2.66315404133552	0.547665100531293	299	0.99206349	0.3257	1	7e-04	4	0	NA	0.9999805	0.002737236	LPHN2	954980	ncHAE
chr1:83230854-83231153	0.000544643762445118	0.205600487956158	6.09070097023874	0.673026786506503	299	0.99206349	0.126	4	0.0022	1	0	NA	0.9996338	0.008583921	LPHN2	964922	ncHAE
chr1:83231028-83231328	0.227902874155873	0.383842244216679	2.39233645046301	1.01413570937363	300	0.99206349	0.03405	4	0.0018	2	0	NA	0.9464787	0.3684281	LPHN2	965096	ncHAE
chr1:83451675-83451975	0.0697104941880984	1	2.68349648548484	0.378694507427566	300	0.968254	0.1146	1	0.0014	2	0	NA	0.9999775	0.00285635	TTLL7	1012990	ncHAE
chr1:83969386-83969759	0.145651282208856	1	1.97998517095086	2.35061974241003e-14	373	0.99206349	0.2704	1	0.0024	1	0	NA	0.9991811	0.03440384	TTLL7	495242	ncHAE
chr1:84211471-84211971	1	1	0.977183935746863	1.42217606492709e-14	500	0.99206349	0.3371	1	0.0018	3	1	NA	0.9905811	0.1305372	TTLL7	253094	ncHAE
chr1:87835464-87835856	0.299554139581493	1	1.7083178807947	2.25570701711425e-14	392	0.9285714	0.2554	1	0.0026	5	0	NA	0.9999006	0.007080678	LMO4	41509	ncHAE
chr1:88075850-88076150	0.18129504175747	1	1.92553645998429	1.19057553394007e-14	300	0.99206349	0	0	0.0011	4	0	NA	0.9997907	0.0172043	LMO4	281849	ncHAE
chr1:88285959-88286718	0.512617693999925	1	1.39924396539095	1.63539647226154e-14	759	0.952381	0.0116	1	0.0034	7	0	NA	0.998535	0.02692221	LMO4	492188	ncHAE
chr1:88393080-88393389	0.257777470476893	1	1.71262771615236	0.369682698237797	309	0.99206349	0	0	0.0036	2	0	NA	0.9999992	0.001401477	LMO4	599084	ncHAE
chr1:88536668-88536967	0.678269823276814	0.374943275702077	1.03706211642579	0.535381251881307	299	0.99206349	0.2105	1	0.0023	2	0	NA	0.9988171	0.120356	PKN2	-613087	ncHAE
chr1:88615793-88616583	0.491541579449871	0.0895961760805791	1.14589503851641	0.690067109451396	790	0.952381	0.0182	3	0.0038	9	0	NA	0.9991967	0.02371638	PKN2	-533717	ncHAE
chr1:88624259-88624624	0.198764684058433	1	1.92594956135407	1.80841189070401e-14	365	0.99206349	0.03674	2	0.0024	2	0	NA	0.9999285	0.009966121	PKN2	-525463	ncHAE
chr1:88645380-88645680	0.784252976215321	1	1.16638442734395	0.350290924731919	300	0.99206349	0.0128	1	0.0014	2	1	NA	0.9995026	0.04751107	PKN2	-504375	ncHAE
chr1:88927379-88928363	0.488793977860159	1	0.573163686179574	8.57262612406645e-15	984	0.9603175	0.04023	2	0.0012	2	0	NA	0.9999102	0.01148024	PKN2	-222034	ncHAE
chr1:88952677-88952976	0.0992891892040686	0.998871621018033	2.40214752523508	0.230934605281349	299	0.99206349	0.0274	1	0.001	1	0	NA	0.9997745	0.008374321	PKN2	-197078	ncHAE
chr1:91286399-91286754	0.350085280916552	1	1.70598679540075	2.76002613792375e-14	355	0.984127	0.1727	1	0.001	2	0	NA	0.9999917	0.003603987	BARHL2	-103783	ncHAE
chr1:95732705-95733005	0.714869182140947	1	1.2305111684315	0.187372390273657	300	0.99206349	0.0771	3	0.0014	1	2	NA	0.9914527	0.1636353	RWDD3	33144	ncHAE
chr1:95746875-95747329	0.125283328855333	1	1.86520387378051	0.243833291079243	454	0.984127	0	0	0.0018	3	0	NA	0.9998809	0.004275618	RWDD3	47391	ncHAE
chr1:95806902-95807307	0.0967562002781938	1	2.23890143358195	0.461011556265145	405	0.984127	0.0827	1	0.0032	2	0	NA	0.9998135	0.007206879	RWDD3	107394	ncHAE
