chromosome	pval.human	pval.chimp	zeta.human	zeta.chimp	size	Specificity	maf_common	S_common	maf_rare	S_rare	eQTLs	PhastCons	PP_con	PP_acc	gene	dTSS	type
chr1:112507346-112507650	0.13631409115441	0.709139465037973	1.73421331122962	1.54471246217631	304	0.9761905	0.0421	4	0.0024	1	1	NA	0.9892116	0.1755771	KCND3	24279	DHS
chr1:112537406-112537715	1	1	1.98676442693856e-14	1.87944842562912e-14	309	0.9761905	0.18375	2	0.0052	2	1	NA	0.6730872	0.8851185	KCND3	-5784	DHS
chr1:112642181-112642490	1	0.371204614678322	2.46618449903275e-14	1.15394988227459	309	0.9761905	0.016	1	0.0022	5	0	NA	0.4434158	1	KCND3	-110559	DHS
chr1:112761886-112762190	1	1	0.480991812688073	0.775877609914422	304	0.9761905	0.16015	2	0.0022	1	1	NA	0.7053972	0.8700927	CTTNBP2NL	-176765	DHS
chr1:113162221-113162550	1	0.657120756428085	1.2060168707788e-14	0.970102811334686	329	0	0.0357	1	0.0032	5	1	0.04	0.6292064	1	ST7L	-346	DHS
chr1:113169561-113169870	1	1	0.429763079311207	3.31821144800127e-14	309	0.968254	0.2318	1	0	0	1	NA	0.7133615	0.8684291	ST7L	-7676	DHS
chr1:113220041-113220355	1	1	0.473462093798463	2.4241524824222e-14	314	0.9761905	0.0397	1	0.0048	3	0	NA	0.6220374	0.9051875	MOV10	3155	DHS
chr1:113310846-113311155	0.0995688415813496	0.592680232831355	2.79690344202952	0.890318840011228	309	0.968254	0	0	8e-04	5	0	NA	0.9831595	0.1711805	FAM19A3	47960	DHS
chr1:113346741-113347110	1	0.806590798073763	3.16159283463075e-14	0.772300684649631	369	0.801587	0.0298	5	0.0018	1	1	0	0.4593827	1	FAM19A3	83885	DHS
chr1:11339781-11340090	1	1	2.16020628231487e-14	0.380149910557469	309	0.9761905	0	0	0.0032	1	0	NA	0.6154963	1	UBIAD1	6673	DHS
chr1:11363806-11364115	1	1	0.421722269716852	2.48669459710579e-14	309	0.9761905	0.0572	2	0	0	0	NA	0.8290624	0.7862431	UBIAD1	30698	DHS
chr1:113774286-113774595	0.992515289187026	0.907645709862104	0.899450403051568	0.732158815842064	309	0.968254	0.0767	1	0	0	0	NA	0.9783233	0.3299716	LRIG2	158610	DHS
chr1:113777981-113778290	1	1	1.17878559812596	0.654740853920239	309	0.9761905	0.03485	2	0.0032	3	1	NA	0.9695093	0.288946	MAGI3	-155445	DHS
chr1:114458341-114458650	1	0.61746966693154	2.63285037130951e-14	0.924726181147183	309	0.968254	0	0	0.008	1	0	NA	0.6983272	1	DCLRE1B	10733	DHS
chr1:114679846-114680155	1	1	1.90559030650608e-14	1.65394952597267e-14	309	0.968254	0.1074	1	0.008	1	0	NA	0.5306097	1	SYT6	16471	DHS
chr1:114761661-114761970	1	1	0.954814172205976	0.317491294531818	309	0.9761905	0.0128	1	0.0076	1	0	NA	0.9100733	0.5458986	SYT6	-65344	DHS
chr1:114871141-114871455	0.494221760384659	1	0.466983582786142	1.26630376759475e-14	314	0.968254	0	0	0.0029	4	0	NA	0.9447106	0.631221	SYT6	-174826	DHS
chr1:114889166-114889495	1	1	1.40602744546931e-14	0.946520313584789	329	0	0.0489	1	0.0062	2	0	0	0.2004052	1	TRIM33	164450	DHS
chr1:115124166-115124515	1	1	0.855566584369688	0.504608900847244	349	0.00793699999999997	0.0304	1	0.0016	4	0	0	0.729715	0.7625872	BCAS2	-81	DHS
chr1:115194666-115194975	1	1	0.434042848888757	0.349231427295391	309	0.9761905	0	0	0.0016	1	0	NA	0.7644728	0.8378943	DENND2C	17835	DHS
chr1:115212341-115212915	1	1	0.694864084091271	0.636825705190471	574	0.634921	0.0306	3	0.0018	5	2	0	0.135982	0.9814453	DENND2C	28	DHS
chr1:115259321-115259855	1	1	0.266148724902424	1.29888434060702e-14	534	0.00793699999999997	0.0564	4	7e-04	4	1	1	0.8533402	0.773137	NRAS	-73	DHS
chr1:115322926-115323450	0.56548366754973	1	1.14547110646558	0.552184192423971	524	0.825397	0.0182	1	0.001	3	0	0.0015	0.8553143	0.5516306	SIKE1	118	DHS
chr1:11543026-11543330	0.528402905054534	1	1.2327946508417	0.501961705913502	304	0.968254	0.0148	1	0	0	1	NA	0.9804298	0.3135111	PTCHD2	3883	DHS
chr1:115681601-115681995	1	1	0.275025593044278	0.271591076717687	394	0	0.03575	2	0.0023	4	0	0	0.5830116	0.9189644	TSPAN2	-49713	DHS
chr1:116188866-116189175	0.792810119561957	1	1.22716331298239	1.52412825166943e-14	309	0.968254	0.4657	6	0.0044	1	1	NA	0.9211408	0.4359081	VANGL1	4447	DHS
chr1:116207561-116207870	1	1	2.009013484163e-14	0.303956157508211	309	0.9761905	0.10325	2	6e-04	1	1	NA	0.4928348	1	VANGL1	23142	DHS
chr1:116208446-116208750	0.860365381666529	0.868451218024169	0.48900427656172	4.52098898666224e-14	304	0.968254	0.1815	3	0.0014	3	1	NA	0.7340671	0.8535048	VANGL1	24024	DHS
chr1:116251381-116251690	1	0.385826700403775	0.495257242558166	2.03376395428938	309	0.9761905	0	0	0.0016	3	0	NA	0.4909344	0.9426571	CASQ2	59866	DHS
chr1:116306346-116306655	1	1	2.15035799522673e-14	0.373353506202619	309	0.9761905	0.4784	1	9e-04	6	1	NA	0.5501555	1	CASQ2	4901	DHS
chr1:116558261-116558575	0.0729377519248813	0.906559149564062	2.62684449700731	0.933367114263998	314	0.968254	0.0242	1	0.0042	3	0	NA	0.9632385	0.2249942	SLC22A15	39299	DHS
chr1:116681546-116681995	0.0982613885524772	0.209730447876795	1.55049413293272	1.84020847745043	449	0.9761905	0.0204	1	0.0012	5	1	0	0.8906749	0.4336811	SLC22A15	162652	DHS
chr1:116714426-116714735	1	1	0.513528543065837	0.808016677488471	309	0.9761905	0.0142	2	7e-04	2	0	NA	0.8496232	0.642064	SLC22A15	195462	DHS
chr1:11677866-11678175	0.653271844061376	1	0.884308761091948	1.10102756892231	309	0.9761905	0.0371	1	0	0	0	NA	0.927272	0.5121352	FBXO2	36718	DHS
chr1:116967406-116967715	0.855070550160574	0.232795688170172	0.510265327130894	1.0783870024328	309	0.968254	0	0	8e-04	4	0	NA	0.6374924	0.8977365	ATP1A1	51072	DHS
chr1:116977641-116977950	1	1	0.948991708420812	1.33182938736074e-14	309	0.9761905	0	0	0.0078	1	0	NA	0.9441219	0.4597628	ATP1A1	61307	DHS
chr1:117027541-117028155	1	0.654222475995675	0.448150162319737	1.1675055945046	614	0.9444444	0.267	1	0.0034	3	0	0	0.5093548	0.8891138	CD58	85813	DHS
chr1:117035886-117036195	1	1	2.08115358264041e-14	1.41327161981904e-14	309	0.9761905	0.0144	1	0.0019	2	0	NA	0.2322473	1	CD58	77620	DHS
chr1:117059841-117060150	1	1	0.514690227298328	0.742108380151418	309	0.9761905	0	0	0.004	1	0	NA	0.7274255	0.8581081	CD58	53665	DHS
chr1:117117281-117117535	1	1	9.82905282071759e-15	9.08670737414775e-15	254	0.0317460000000001	0	0	0.001	1	0	0.091	0.9296745	1	CD58	-3747	DHS
chr1:117377786-117378090	1	0.0200035797429933	0.489850983967604	2.07774890484662	304	0.968254	0.0413	1	8e-04	3	0	NA	0.6989832	0.8713904	PTGFRN	-74741	DHS
chr1:117602021-117602970	1	1	0.400308953089349	0.948089505651774	949	0.666667	0.14	13	0.0034	9	4	0	0.2073796	0.9648233	TTF2	-429	DHS
chr1:117664286-117664955	1	0.201435205352921	0.446829674934338	1.65258847961798	669	0.015873	0.0162	3	0.0036	5	1	0	0.1130396	0.9900397	TRIM45	-271	DHS
chr1:117746326-117746635	0.740513307058218	0.763783424167526	1.27983429578988	1.25709959324208	309	0.9761905	0.3177	1	0.0027	2	0	NA	0.9857877	0.2018	VTCN1	7075	DHS
chr1:117846326-117846635	0.690685754276527	0.356306335467728	1.05756116448467	1.83178227350861	309	0.9761905	0.0103	2	0.0017	2	0	NA	0.759151	0.740839	MAN1A2	-63590	DHS
chr1:11814646-11814955	1	1	3.14409744228379e-14	0.460027193251772	309	0.9761905	0.0174	2	8e-04	3	0	NA	0.3734406	1	AGTRAP	18589	DHS
chr1:118147286-118148630	1	1	0.581474183807771	0.842844268810102	1344	0.9603175	0.1296	7	0.0049	8	1	0	0.1878179	0.9564729	MAN1A2	237887	DHS
chr1:118164086-118164390	1	1	0.483678915430977	0.938092357617119	304	0.968254	0.017	1	8e-04	3	0	NA	0.8523289	0.7699342	MAN1A2	254167	DHS
chr1:118383161-118383475	1	1	3.58182925943109e-14	0.445297770180246	314	0.968254	0.0134	1	0.0042	2	0	NA	0.5553645	1	GDAP2	88935	DHS
chr1:118472166-118472470	0.757805811763942	1	1.22866158926941	0.379157530685594	304	0	0.0262	3	0.0039	4	1	0	0.8176275	0.609457	GDAP2	-65	DHS
chr1:11884466-11884775	1	1	0.466706002686198	1.5613378983408e-14	309	0.9761905	0.023	3	0.0038	3	3	NA	0.7714211	0.8311834	CLCN6	18353	DHS
chr1:11967826-11968110	1	9.04998221388231e-05	0.820646693266073	4.86924707659915	284	0	0.3931	2	8e-04	4	2	NA	0.5583035	0.8722125	KIAA2013	18512	DHS
chr1:119682541-119683570	0.0998288240528055	1	1.75677309902321	0.504661542974868	1029	0.857143	0.25	3	7e-04	6	2	0	0.9510918	0.1730836	WARS2	238	DHS
chr1:11994521-11994830	0.457566844309021	0.641008215092616	1.45624136104879	1.21424978238301	309	0.00793699999999997	0.0208	2	0.0026	4	0	NA	0.8498385	0.5611228	PLOD1	-134	DHS
chr1:120167946-120168255	1	1	0.566070238117796	1.70911995781943e-14	309	0.968254	0	0	0.0014	2	0	NA	0.5123713	1	ZNF697	22295	DHS
chr1:120259066-120259375	1	0.838250106139976	2.27351033787907e-14	1.14900139198839	309	0.968254	0.3179	1	0.0013	2	0	NA	0.4771892	1	PHGDH	4711	DHS
chr1:120285221-120285535	1	1	0.465662516609011	2.466154600605e-14	314	0.968254	0.021	1	6e-04	1	0	NA	0.9091004	0.6957856	HMGCS2	26139	DHS
chr1:120286766-120287050	1	1	0.938204224680951	1.89697091481263e-14	284	0.00793699999999997	0.0859	3	0.002	4	0	0	0.799841	0.7058607	HMGCS2	24609	DHS
chr1:120413581-120414315	0.874362077684938	1	1.17154460939573	0.746529689747278	734	0.02381	0.1715	1	0.0032	2	1	0.001	0.8016653	0.5345842	ADAM30	25170	DHS
chr1:12268406-12269195	1	1	0.700637201680228	0.162240591034597	789	0.968254	0.0474	4	0.0022	7	0	NA	0.6286763	0.7456438	TNFRSF1B	41741	DHS
chr1:12542066-12542375	1	1	2.99484739422537e-14	2.45134522914586e-14	309	0.968254	0	0	6e-04	4	0	NA	0.5657615	1	DHRS3	135516	DHS
chr1:12679821-12680150	0.262660881884227	1	0.719363246869863	1.02688397448506	329	0	0.23945	2	0.0024	1	1	NA	0.902094	0.5626924	DHRS3	-2249	DHS
chr1:12704386-12704695	1	1	0.503345037941683	0.972946939350868	309	0.9761905	0.0437	3	0.0058	4	0	NA	0.786914	0.819923	AADACL4	-25	DHS
chr1:13816146-13816455	0.977099549432339	0.313109897543731	0.893033011245589	1.51981095275246	309	0.968254	0.1761	1	0.003	2	1	NA	0.7810531	0.7233858	LRRC38	24242	DHS
chr1:13840866-13841175	0.710869520601759	1	1.06132834473646	0.620510015789374	309	0.968254	0.3778	1	0.0056	1	1	NA	0.8989856	0.5593191	LRRC38	-478	DHS
chr1:13992061-13992510	1	0.447138991649015	0.400771318133829	1.02584236672701	449	0.9761905	0.1492	3	8e-04	5	0	NA	0.5053004	0.9385583	PRDM2	-39064	DHS
chr1:14035226-14035530	0.217340352027403	0.162380317808724	2.13129840386287	1.24504179929343	304	0.968254	0.0184	5	0.0018	1	0	NA	0.9631807	0.2586487	PRDM2	4028	DHS
chr1:14079001-14079310	1	1	2.2733316056922e-14	0.500678561238831	309	0.968254	0.0194	1	0.0023	8	0	NA	0.593996	1	PRDM2	47806	DHS
chr1:14153506-14153815	1	1	0.423280600077472	0.615050430035406	309	0.9761905	0.0104	1	8e-04	4	0	NA	0.6680267	0.8880688	PRDM2	122311	DHS
chr1:14228141-14228455	0.0385049954698151	0.39905898879175	2.78429768744796	1.7337586399626	314	0.9761905	0.14375	4	0.0014	4	0	NA	0.9895787	0.09255306	PRDM2	196948	DHS
chr1:144006681-144006990	0.980392834535909	1	4.13621647507139e-14	0.497284454503119	309	0.9603175	0	0	0.0056	1	0	NA	0.3795238	1	NBPF8	-139976	DHS
chr1:145038226-145041215	1	0.982666873872523	0.748744784783228	0.382686711930165	2989	0.833333	0.0952	29	0.004	17	1	0	0.8061471	0.3930802	PDE4DIP	-44699	DHS
chr1:145058941-145059270	1	1	2.75239538707294e-14	1.85005250812158e-14	329	0.00793699999999997	0.0761	4	0.0031	2	0	0	0.5427799	1	PDE4DIP	-64084	DHS
chr1:145096281-145096555	1	1	0.476295700034759	0.380175821081552	274	0.00793699999999997	0.022	1	0	0	0	0.001	0.9587009	0.5977739	PDE4DIP	-101396	DHS
chr1:145421626-145421930	1	0.755987701420526	5.51391699410966e-14	1.23749081712604	304	0.015873	0	0	0	0	0	0	0.4760912	1	HFE2	8500	DHS
chr1:145455346-145455635	1	1	5.70751382230197e-14	0.389155053815733	289	0.015873	0	0	0	0	0	0.468	0.8832508	1	POLR3GL	14896	DHS
chr1:145457121-145457555	1	0.173811310359932	2.60714480927654e-14	1.12421215220387	434	0.00793699999999997	0	0	0.0024	3	0	0	0.7440057	1	POLR3GL	13049	DHS
chr1:145469706-145470590	0.931920869380469	1	0.759658346641784	0.136216068832415	884	0.968254	0	0	0.003	1	1	0.001	0.757149	0.6255165	POLR3GL	239	DHS
chr1:145476841-145477135	1	1	0.525660589510883	1.41656619124639e-14	294	0	0	0	0	0	0	0.0565	0.9068947	0.6972009	LIX1L	-97	DHS
chr1:145507406-145507695	0.787168801850615	0.697259982846971	1.25927575394652	0.805048407166018	289	0	0	0	0	0	1	0.001	0.9737137	0.2709712	RBM8A	-47	DHS
chr1:145665306-145665615	1	0.786827165872066	0.466637580515438	0.991605404922766	309	0.9761905	0	0	0.003	2	0	NA	0.8475392	0.7716473	CD160	41400	DHS
chr1:146958606-146958910	0.288455940101249	0.541755403712967	1.85216449526965	1.49440081554452	304	0.9761905	0.4808	1	0.0017	2	2	NA	0.7953576	0.5883649	BCL9	-54424	DHS
chr1:147101381-147101690	1	0.988328371434984	2.55369005918589e-14	0.400476572323086	309	0.9761905	0	0	0.004	3	0	NA	0.772705	1	ACP6	41082	DHS
chr1:147112621-147113010	0.735396633349665	1	1.26836441108571	0.8905046131714	389	0.0317460000000001	0	0	0.002	3	0	0	0.9529885	0.343873	ACP6	29802	DHS
chr1:147127286-147127595	1	1	0.417578703924652	0.344418877911155	309	0.968254	0	0	0	0	0	NA	0.8268587	0.7939246	ACP6	15177	DHS
chr1:147142546-147143210	0.998871621018033	1	0.725944887338979	0.611605629026789	664	0	0.0197	2	0.0012	8	0	0	0.5232757	0.8464613	ACP6	-260	DHS
chr1:147219661-147219975	1	1	0.453390218767926	0.367835735116701	314	0.968254	0.1032	1	0.0013	2	1	NA	0.7271584	0.8582593	GJA5	25666	DHS
chr1:147808386-147808690	0.769727039429623	1	1.01738415896527	0.506371813508961	304	0.968254	0.028	3	0.0016	3	3	NA	0.7345008	0.7598072	PPIAL4A	146881	DHS
chr1:14918681-14918995	0.531793117268733	0.0536667712570047	1.46932986538511	2.52615299477237	314	0.9761905	0.2063	1	0.0049	2	0	NA	0.9145243	0.3927619	KAZN	-6362	DHS
